depth_m,age,sed_rates,aragonite,lmc,hmc,water,TGA_orgstof,TGA_totalorg,TGA_CaCO3,Flash_TC,Flash_TOC,Flash_TN,Flash_CaCO3,s_500,s_355-500,s_250-355,s_125-250,s_63-125,s_63,l_63,l_63-125,l_125_250,l_250_500,l_500,d18O_pl,d13C_pl,d13C_bulk,d18O_bulk,L*,a*,b*,mean,sorting,skewness,kurtosis,median
0.01,0.00,8.01,62.06,25.95,11.99,37.37,,,,,,,,0.78,4.54,9.24,14.09,12.53,57.83,39.98,20.55,14.78,22.69,2.01,-1.891,0.263,,,,,,88.41,3.434,-0.052,0.855,84.94
0.06,,8.01,58.84,29.43,11.74,37.53,0.53,2.48,94.1,11.43,0.25,0.04,93.17,3.79,14.3,14.94,14.2,10.11,42.66,,,,,,-1.525,0.769,,,50.6307,0.9927,13.826,,,,,
0.11,,8.01,56.45,31.12,12.43,35.17,,,,,,,,11.11,14.44,12.33,11.9,8.75,40.97,26.86,12.82,10.62,27.69,22.01,-2.421,0.355,0.876174337,-1.027482399,50.7169,0.8432,13.8794,166.7,3.821,-0.456,0.815,245.9
0.16,,8.01,56.35,31.91,11.74,35.08,,,,,,,,17.26,13.54,11.47,11.07,7.82,38.34,,,,,,-2.422,-0.029,0.7617576,-0.7881037,51.2273,0.968,14.3278,,,,,
0.21,,8.01,64.61,23.22,12.17,35.59,,,,,,,,19.49,9.25,8.31,9.25,7.41,46.08,16.7,5.83,4.24,8.98,64.25,-1.562,0.161,1.02663827,-1.700385562,50.2813,0.9946,14.1482,430.4,4.776,-0.622,0.984,834.6
0.26,,8.01,70.91,17.22,11.87,39.72,0.74,3.2,92.45,11.73,0.56,0.08,93.07,3.12,4.63,6.03,9.31,8.77,68.14,,,,,,-1.293,0.796,,,50.0929,0.6184,16.7088,,,,,
0.31,,8.01,71.16,17.23,11.61,36.24,,,,,,,,3.62,3.94,5.46,8.96,9,68.16,55.97,3.28,0.28,14.06,26.41,-1.892,0.723,0.851169889,-1.806193998,50.528,0.5572,16.8842,76.01,5.742,0.277,0.643,48.57
0.36,,8.01,70.62,17.5,11.88,34.37,,,,,,,,6.59,4.74,5.91,8.21,8.11,65.7,,,,,,-1.697,1.201,0.885602876,-1.736083649,52.0983,0.3278,13.308,,,,,
0.41,5.12,8.01,71.06,16.74,12.2,35.01,,,,,,,,3.62,3.77,4.84,7.59,8.69,72.23,54.62,17.04,7.99,12.79,7.56,-2.114,0.459,0.846495202,-1.874214348,51.1249,0.4623,14.6723,64.11,4.242,0.113,0.937,54.37
0.46,,13.39,68.88,18.5,12.62,36.55,0.73,3.19,92.62,11.66,0.5,0.07,92.94,4.68,5.29,6.05,8.83,8.19,66.95,,,,,,-1.534,0.869,,,49.8328,0.3921,13.638,,,,,
0.51,,13.39,67.69,19.36,12.96,34.15,,,,,,,,9.19,6.35,7.46,9.94,8.77,55.15,35.8,11.56,7.11,12.39,33.15,-1.518,0.794,0.793418758,-1.802918097,,,,161.9,5.935,-0.06,0.722,161.1
0.56,,13.39,67.85,18.75,13.4,37.62,0.73,3.42,91.4,11.69,0.63,0.07,92.17,5.08,6.26,7.38,9.85,8.36,62.1,,,,,,-1.603,1.151,,,48.2354,0.3749,12.1218,,,,,
0.61,,13.39,63.53,23.36,13.11,36.37,,,,,,,,5.57,8.05,9.14,12.32,9.97,53.34,39.83,5.62,2.87,23.58,28.11,-1.098,0.674,0.874364266,-1.517061375,48.0584,0.5134,12.4378,156.1,5.07,-0.456,0.711,269.5
0.66,,13.39,62.18,24.84,12.98,36.62,,,,,,,,7.48,8.71,10.19,13.06,10.76,47.52,,,,,,-1.699,0.731,0.781413632,-1.569377577,47.2878,0.4901,12.7842,,,,,
0.71,,13.39,63.91,22.81,13.28,35.68,,,,,,,,6.96,6.94,8.64,10.86,9.3,55.38,38.29,14.88,10.72,19.07,17.04,-1.732,0.656,0.783116483,-1.768785295,48.1187,0.4888,10.7083,106.9,4.409,-0.042,0.797,104.8
0.76,,13.39,61.96,24.88,13.16,37.82,0.63,2.92,92.45,11.46,0.44,0.05,91.81,5.45,7.45,9.13,13.83,9.32,51.56,,,,,,-1.892,1.196,,,49.0835,0.5177,10.0991,,,,,
0.81,,13.39,61.35,25.8,12.85,35.34,,,,,,,,9.59,8.6,10.02,12.71,9.82,47.76,33.88,1.89,2.95,28.73,32.55,-1.196,0.219,0.805430704,-1.207826167,47.3415,0.6666,12.3568,170.9,5.041,-0.597,0.698,353.1
0.86,,13.39,58.9,26.89,14.21,36.97,,,,,,,,9.63,9.07,9.88,11.65,9.5,49.22,,,,,,-2.96,0.95,1.218507494,-1.21301314,47.2346,0.4742,12.9935,,,,,
0.91,,13.39,57.81,27.84,14.35,35.95,,,,,,,,7.5,10.33,11.28,12.43,9.39,48.33,30.87,0.25,1.87,29.18,37.83,-1.139,0.717,0.909135942,-1.008556277,48.5514,0.7538,13.5624,176.7,5.45,-0.623,0.672,395.9
0.96,,13.39,60.92,25.36,13.72,37.12,0.63,2.8,93.07,11.55,0.41,0.05,92.73,,,,,,,,,,,,-1.047,0.866,,,48.3506,0.8287,13.6294,,,,,
1.01,9.60,13.39,62.67,23.04,14.29,36.67,,,,,,,,6.05,7.35,8.45,10.45,9.67,56.92,40.19,13.83,10.42,21.08,14.48,-1.234,0.586,1.186374742,-1.690607334,49.1406,0.7186,14.1272,99.35,4.294,-0.058,0.756,97.94
1.06,,10.61,56.65,29.34,14.02,36.11,,,,,,,,7.01,10.43,11.34,12.46,10.32,47.12,,,,,,-1.131,0.901,0.989294569,-1.081146319,50.3778,1.0087,14.4866,,,,,
1.11,,10.61,57.14,28.85,14.01,36.87,,,,,,,,8.83,10.24,10.35,14.06,9.9,43.92,27.29,9.73,10.26,25.8,26.92,-1.003,0.816,0.764190881,-1.420769015,49.3871,0.8303,11.7206,175.6,4.152,-0.483,0.808,277.6
1.16,,10.61,54.74,31.5,13.76,38.45,0.6,2.6,94.47,11.53,0.34,0.04,93.17,11.98,11.11,12.85,13.51,6.75,39.43,,,,,,-0.824,0.533,,,49.894,1.2158,13.8128,,,,,
1.21,,10.61,56.63,30.3,13.07,35.83,,,,,,,,7.63,10.58,11.4,12.36,8.64,47.2,28.67,4.04,5.63,25.7,35.96,-1.071,0.616,,,50.5618,1.061,13.8097,198.6,4.632,-0.559,0.758,365.6
1.26,,10.61,55.7,31.51,12.79,37.38,,,,,,,,9.42,11.84,12.38,12.91,9.33,43.01,,,,,,-1.209,1.036,0.646541636,-1.57689439,50.4633,1.0154,13.1435,,,,,
1.31,,10.61,56.19,30.28,13.53,37.51,,,,,,,,10.03,13.88,13.27,11.49,7.7,37.8,21.69,4.19,6.97,24.26,42.89,-1.123,0.775,0.697596399,-1.069429814,50.2055,1.1368,14.1524,242.3,4.437,-0.555,0.989,428.1
1.36,,10.61,56.87,30.26,12.88,36.3,0.5,2.32,93.84,11.68,0.25,0.03,95.26,8.59,9.89,10.61,12.13,10.4,46.43,,,,,,-1.037,0.782,,,50.7817,0.9688,13.5105,,,,,
1.41,,10.61,57.7,30.19,12.1,35.92,,,,,,,,5.44,7.02,7.1,12.43,12.54,52.76,12.17,5.87,4.5,6.42,71.04,-0.922,0.451,0.835168247,-1.727147849,51.5088,1.1656,14.7968,616.9,4.184,-0.731,1.097,1273.3
1.46,,10.61,54.14,32.48,13.38,35.86,,,,,,,,7.58,10.25,11.68,10.81,8.56,49.33,,,,,,-1.004,0.645,0.980886458,-0.956137228,51.1124,1.1227,13.8833,,,,,
1.51,,10.61,54.13,33.22,12.66,36.53,,,,,,,,10.91,13.42,13.85,13.68,9.43,38.13,22.46,11.44,12.11,27.26,26.73,-1.293,0.448,0.877031926,-1.015342579,,,,196.1,3.817,-0.439,0.901,286.9
1.56,,10.61,50.06,36.85,13.09,39.17,0.43,1.99,93.68,11.47,0.16,0.03,94.21,14.92,15.19,15.01,14.36,7.48,31.67,,,,,,-1.283,0.661,,,54.3933,1.475,14.1406,,,,,
1.61,,10.61,51.84,35.64,12.53,39.11,,,,,,,,11.47,14.22,15.39,14.37,8.71,34.63,11.63,5.22,6.89,17.05,59.21,-0.952,0.964,0.760040676,-0.541989384,53.3158,1.4531,10.3109,486.4,3.77,-0.452,1.151,670.5
1.66,,10.61,49.88,35.77,14.35,36.41,,,,,,,,11.11,12.05,11.81,12.4,9.67,42.14,,,,,,-1.13,0.491,0.839011302,-0.668980433,53.3294,1.5865,14.1131,,,,,
1.71,16.20,10.61,49.34,35.3,15.36,37.47,,,,,,,,9.92,11.74,13.27,13.45,7.96,42.06,19.09,1.34,5.56,32.12,41.89,-1.275,0.777,1.014186567,-0.804351532,53.1543,1.4385,13.8938,245.3,4.153,-0.598,1.799,435
1.76,,8.33,50.8,35.52,13.68,36.88,0.47,2.16,93.66,11.65,0.24,0.03,95.05,13,14.78,11.83,12.6,9.03,41.51,,,,,,-1.284,0.237,,,52.8875,1.6496,13.7174,,,,,
1.81,,8.33,52.11,34.47,13.42,37.68,,,,,,,,8.12,12.12,13.01,12.12,8.28,44.61,17.88,8.9,9.21,24.02,39.99,-1.142,0.781,1.114987056,-0.786380219,53.4003,1.3413,10.398,270.4,3.992,-0.42,0.967,395.7
1.86,18.00,8.33,51.96,34.7,13.33,37.49,,,,,,,,10.92,12.89,13.3,12.67,8.72,40.51,,,,,,-0.662,0.858,1.257514862,-0.606624895,53.412,1.406,14.3808,,,,,
1.91,71.00,18.93,58.36,27.05,14.6,34.02,,,,,,,,5.62,6.92,7.19,8.13,8.99,62.52,38.58,12.16,8.48,16.08,24.7,-1.174,0.539,1.015545683,-1.200871422,52.3255,0.9901,13.5589,118.1,4.998,-0.056,0.745,118
1.96,,18.93,58.9,27.09,14.01,34.36,0.57,2.62,94.23,11.59,0.33,0.04,93.81,5.95,7.05,8.27,9.93,7.44,59.82,,,,,,-1.384,0.559,,,51.5292,0.981,14.3307,,,,,
2.01,,18.93,57.4,28.93,13.67,34.98,,,,,,,,5.98,8.88,9.05,9.99,8.45,56.96,37.88,10.76,9.07,20.37,21.92,-1.125,0.929,0.950991799,-0.987427578,53.3259,0.8556,14.64,120.4,4.668,-0.189,0.74,141.4
2.06,,18.93,62.12,24.16,13.72,33.99,,,,,,,,4.48,4.58,5.42,7.58,8.86,68.44,,,,,,-1.08,0.464,0.958065747,-1.136975116,52.9258,0.6172,14.9397,,,,,
2.11,,18.93,61.57,23.84,14.59,33.53,,,,,,,,10.67,4.71,4.96,5.96,6.78,65.85,31.41,7.47,4.51,9.58,47.04,-1.324,0.592,0.788431237,-1.552735587,52.5787,0.6857,14.5058,249.1,6.361,-0.416,0.664,423.8
2.16,,18.93,59.63,26.99,13.38,37.52,0.57,2.58,92.55,11.66,0.37,0.04,94.08,14.28,13.02,11.43,10.31,7.6,42.5,,,,,,-1.483,0.691,,,53.7145,0.5371,14.868,,,,,
2.21,,18.93,59.7,26.15,14.15,34.38,,,,,,,,4.87,5.81,6.39,8.1,8.91,65.25,55.27,2.36,0.59,21.3,20.48,-1.367,0.546,0.933592615,-0.923401253,51.6068,0.4745,12.6921,68.7,5.311,0.222,0.618,47.95
2.26,,18.93,63.91,23.7,12.38,34.18,,,,,,,,5.25,4.67,5.43,7.12,8.7,68.13,,,,,,-0.792,0.294,0.5607,-1.603,52.7879,0.3659,13.1694,,,,,
2.31,,18.93,63.58,24.49,11.93,34.85,,,,,,,,6.01,7.15,8.14,8.53,8.49,60.61,43.82,1.56,0.69,19.58,34.35,-1.153,0.405,0.779711756,-1.509562513,51.3379,0.662,14.0346,153.3,5.732,-0.536,0.636,316.4
2.36,,18.93,65.18,21.95,12.88,34.1,0.59,2.77,93.46,11.61,0.39,0.04,93.45,3.4,3.91,4.25,6.52,8.05,73.85,,,,,,-1.383,0.718,,,53.1078,0.7757,12.7881,,,,,
2.41,,18.93,63.82,24.27,11.91,33.96,,,,,,,,3.34,5.51,6.44,8.48,8.73,67.45,45.54,13.04,9,16.93,15.49,-1.113,0,0.6278,-1.4386,48.5097,0.3749,13.7076,84.64,4.804,0.048,0.748,76.16
2.46,,18.93,63.34,24.9,11.76,34.12,,,,,,,,4.01,6.6,7.6,9.6,9.79,62.45,,,,,,-1.449,0.76,0.968227524,-1.394120707,,,,,,,,
2.51,,18.93,61.15,26.4,12.44,34.42,,,,,,,,5.08,7.05,7.85,10.42,10.05,59.02,41.19,5.71,5.99,27.21,19.9,-1.619,0.853,0.494528676,-1.538343019,,,,128.9,4.702,-0.443,0.7,212.2
2.56,,18.93,58.95,28.88,12.17,36.89,0.61,2.69,93.03,11.53,0.4,0.04,92.71,,,,,,,,,,,,-1.031,0.52,,,48.4297,1.2515,12.6694,,,,,
2.61,,18.93,58,29.51,12.49,36.18,,,,,,,,5.13,8.76,10.63,11.56,10.06,53.6,41.35,0.28,0.6,30.59,27.18,-1.405,0.831,0.736379574,-1.080480774,51.5224,1.4531,14.8833,135.9,5.407,-0.679,0.602,337.2
2.66,,18.93,61.76,24.65,13.58,33.96,,,,,,,,2.45,3.2,4.47,5.38,8.3,76.44,,,,,,-1.59,0.91,1.065079789,-1.017982529,53.8294,1.3699,15.0086,,,,,
2.71,,18.93,61.95,25.34,12.71,34.17,,,,,,,,3.35,5.67,6.28,6.01,8.71,69.89,57.91,17.75,6.34,11.69,6.31,-1.179,0.723,1.465069872,-0.83474929,54.2314,0.9052,15.1817,60.32,4.078,0.132,1.101,50.68
2.76,,18.93,64.12,24.15,11.73,35.4,0.62,2.68,93.26,11.81,0.44,0.05,94.72,3.71,5.66,5.77,6.69,6.69,69.4,,,,,,-1.149,0.776,,,53.1115,0.696,15.1168,,,,,
2.81,,18.93,56.92,31.56,11.52,36.39,,,,,,,,5.44,9.29,8.82,8.61,9.12,58.76,33.13,12.51,8.43,18.38,27.55,-0.982,0.762,0.894540972,-0.884052604,53.6155,0.8717,15.3509,149.4,4.666,-0.22,0.775,181.4
2.86,,18.93,62.99,25.5,11.51,34.66,,,,,,,,2.49,3.15,2.78,4.12,8.58,78.19,,,,,,-1.245,0.688,0.911196111,-1.71953137,53.3401,1.3081,15.3334,,,,,
2.91,,18.93,67.01,22.06,10.92,33.71,,,,,,,,1.03,0.86,0.59,2.05,7.73,87.14,58.26,11.91,2.24,3.68,23.91,-1.785,0.537,1.0462,-1.3577,55.1979,0.9532,15.5511,78.34,6.079,0.294,0.685,48.02
2.96,,18.93,62.4,26.81,10.79,35.92,0.57,2.52,93.43,11.67,0.41,0.04,93.81,3.04,3.71,3.71,5.28,7.24,76.05,,,,,,-1.711,0.772,,,54.2047,0.8036,15.7746,,,,,
3.01,,18.93,65.67,23.64,10.69,33.49,,,,,,,,3.45,2.42,2.49,6.29,8.9,78.74,65.15,9.3,2.17,6.92,16.45,-0.785,0.408,1.342567399,-1.020142649,53.9018,0.8305,15.7409,62.03,5.536,0.306,0.948,40.35
3.06,,18.93,65.47,23.73,10.8,35.08,,,,,,,,2.75,2.29,2.23,3.72,9.11,79.1,,,,,,-1.189,0.698,0.951826135,-1.156703391,51.9795,0.8238,15.3923,,,,,
3.11,,18.93,67.2,22.79,10.01,33.63,,,,,,,,2.13,2.48,2.34,3.34,8.94,79.63,83.61,15.59,0.81,0,0,-1.292,0.37,1.142624174,-1.189164442,54.067,0.5552,16.1606,26.68,2.391,-0.207,0.862,30.61
3.16,,18.93,60.79,28.05,11.16,37.44,0.6,2.53,92.61,11.63,0.45,0.04,93.07,1.84,2.31,2.59,3.84,8.55,80.86,,,,,,-1.327,0.402,,,52.6924,0.8408,15.7111,,,,,
3.21,,18.93,64.03,25.01,10.97,34.25,,,,,,,,1.41,1.49,1.77,3.61,11.24,80.83,,,,,,-1.436,0.864,1.040964509,-1.23020895,52.4899,0.9769,15.7798,17.4,2.005,-0.174,0.73,19.04
3.26,,18.93,61.14,28.18,10.68,34.57,,,,,,,,4.42,4.17,3.93,4.17,9.56,73.68,,,,,,-1.306,0.996,0.947029999,-1.028304522,54.4825,0.6836,16.5699,,,,,
3.31,,18.93,60.45,27.64,11.91,34.74,,,,,,,,1.5,1.81,1.75,3.12,8.6,66.52,63.71,14.85,5.6,7.26,8.58,-0.946,0.539,1.181973306,-1.144252772,54.2236,0.6347,16.7547,49.37,4.309,0.174,1.143,42.14
3.36,,18.93,63.35,26.6,10.05,37.16,0.69,2.78,92.51,11.65,0.53,0.05,92.69,2.09,2.55,2.61,3.92,8.3,79.54,,,,,,-1.044,0.659,,,53.3951,0.8078,16.3858,,,,,
3.41,,18.93,64.29,26.59,9.12,35.36,,,,,,,,1.3,1.42,1.78,2.6,8.17,84.73,43.15,7.56,1.81,2.07,45.41,-1.314,0.731,1.191816858,-1.043262602,53.2697,1.1227,16.8575,144,7.347,0.106,0.589,109.8
3.46,,18.93,67.22,23.08,9.7,32.99,,,,,,,,1.39,1.3,1.17,3.28,10.64,82.23,,,,,,-1.379,0.905,1.009088607,-0.896476356,51.9393,0.973,15.8093,,,,,
3.51,,18.93,63.71,25.82,10.47,33.63,,,,,,,,1.77,2.42,2.61,4.03,9.16,79.99,76.88,19.5,3.62,0,0,-1.265,0.93,1.08802,-0.9597719,,,,29.87,2.541,-0.181,0.893,34.03
3.56,,18.93,63.95,25.9,10.15,35.88,0.65,2.61,93.07,11.73,0.45,0.05,93.97,3.42,4.34,4,5.47,9.81,72.96,,,,,,-1.243,0.54,,,55.5015,1.0264,16.1844,,,,,
3.61,,18.93,62.93,27.61,9.46,,,,,,,,,1.98,1.78,2.27,4.3,9.71,79.97,,,,,,-1.165,0.57,1.244083148,-0.81042761,57.0474,0.6389,12.9323,21.05,2.167,-0.215,0.786,23.92
3.66,,18.93,63.46,27.23,9.31,34.93,,,,,,,,0.66,0.74,0.9,3.36,13.28,81.07,,,,,,-1.062,0.877,1.263532868,-0.853622728,58.3042,0.2107,17.3003,,,,,
3.71,,18.93,63.36,27.92,8.72,35.83,,,,,,,,1.17,1.47,1.39,3.91,10.99,81.07,,,,,,-1.154,0.337,0.830930264,-1.084461115,56.179,0.6023,17.0905,18.26,2.047,-0.188,0.749,20.24
3.76,,18.93,62.7,29.62,7.69,35.35,0.42,2.25,94.63,11.72,0.4,0.04,94.33,1.9,2.38,2.58,5.15,10.55,76.09,,,,,,-1.341,0.813,,,58.3939,0.5413,17.4989,,,,,
3.81,,18.93,62.98,28.55,8.48,34.09,,,,,,,,1.46,1.26,1.16,4.06,12.67,79.37,83.59,15.14,1.27,0,0,-1.383,0.872,1.177025563,-0.860988043,58.783,0.2849,17.7902,27,2.376,-0.219,0.873,31.14
3.86,,18.93,61.69,29.15,9.17,34.4,,,,,,,,0.81,1.08,1.12,3.44,11.59,81.96,,,,,,-0.853,0.832,0.9582,-0.87944,57.9217,0.4602,17.4397,,,,,
3.91,,18.93,63.13,30.04,6.82,34.73,,,,,,,,1.32,0.92,0.97,3.62,11.97,81.2,80.07,16.82,3.11,0,0,-0.97,0.842,1.362890545,-0.414626747,58.6082,0.2726,17.325,28.69,2.465,-0.194,0.911,32.9
3.96,,18.93,60.12,32.35,7.52,35.24,0.42,2.17,94.39,11.89,0.38,0.05,95.88,1.77,2.38,2.15,4.15,10.91,77.48,,,,,,-0.873,0.959,,,59.1775,0.1653,17.3598,,,,,
4.01,,18.93,61.13,31.53,7.35,34.82,,,,,,,,1.08,1.05,0.97,3.79,11.79,81.32,77.4,20.3,2.31,0,0,-0.826,0.827,1.015204433,-0.885026125,59.0849,0.1253,17.3068,28.87,2.539,-0.188,0.832,33
4.06,,18.93,61.34,31.36,7.3,35.73,,,,,,,,1.46,1.19,1.46,3.8,11.74,79.61,,,,,,-0.758,0.905,0.9976,-0.679188,59.108,0.2781,17.7922,,,,,
4.11,,18.93,59.58,33.63,6.78,35.74,,,,,,,,0.52,0.72,0.76,3,9.45,85.3,77.45,18.95,3.6,0,0,-1.221,0.623,0.715121521,-1.313182223,59.1951,0.2685,17.6395,29.31,2.548,-0.17,0.881,33.22
4.16,,18.93,60.76,32,7.24,35,0.41,2.19,94.57,11.91,0.38,0.05,96.07,0.78,0.67,0.73,3.35,10.84,82.35,,,,,,-1.09,1.064,,,59.3097,0.2501,17.5094,,,,,
4.21,,18.93,61.61,31.43,6.95,34.66,,,,,,,,1.21,1.35,1.42,3.69,9.83,81.7,89.88,10.12,0,0,0,-1.175,0.862,0.708548694,-1.336479672,58.9069,0.3041,17.2715,23.82,2.283,-0.213,0.817,27.22
4.26,,18.93,61.08,32.09,6.82,35.65,,,,,,,,1.43,1.21,1.1,3.66,10.43,82.19,,,,,,-0.89,0.908,1.168746404,-0.820697164,59.308,0.2359,17.159,,,,,
4.31,,18.93,62.84,30.72,6.44,34.92,,,,,,,,0.67,0.71,0.59,3.01,9.75,84.83,,,,,,-1.131,0.988,1.086293115,-0.815141299,59.5674,0.2129,16.6546,21.03,2.14,-0.241,0.779,24.16
4.36,,18.93,62.54,29.84,7.62,35.3,0.43,2.21,94.43,12.04,0.35,0.05,97.4,0.83,1,1.12,4.99,12.82,79.23,,,,,,-1.251,0.581,,,58.7703,0.2379,17.7623,,,,,
4.41,,18.93,63.38,29.53,7.08,34.13,,,,,,,,1.96,1.36,1.36,3.92,12.57,78.43,,,,,,-1.032,0.97,1.10780385,-0.781754526,58.7134,0.2063,17.3363,20.04,2.088,-0.248,0.755,22.93
4.46,,18.93,65.04,28.35,6.62,32.52,,,,,,,,0.48,0.53,0.7,3.19,11.65,83.35,,,,,,-1.056,0.796,1.151852282,-0.895566171,,,,,,,,
4.51,,18.93,62.9,30.03,7.07,32.39,,,,,,,,1.27,0.99,1.32,3.91,12.17,80.45,80.9,12.42,2.9,3.59,0.18,-0.764,0.897,1.313938449,-0.659569749,,,,27.49,2.742,-0.055,1.061,30.81
4.56,85.00,18.93,60.99,32.6,6.41,34.92,0.38,2.12,94.55,12,0.37,0.04,96.89,0.58,0.58,0.87,2.95,11.66,83.36,,,,,,-1.144,0.695,,,62.9185,-0.0952,13.7273,,,,,
4.61,,18.75,65.91,27.48,6.61,34.42,,,,,,,,1.17,1.03,1.22,4.96,14.74,76.95,89.1,10.9,0,0,0,-1.065,0.977,0.839614143,-1.115212799,61.5267,0.3196,12.6758,24.75,2.272,-0.237,0.845,28.57
4.66,,18.75,64.93,27.97,7.1,35.18,,,,,,,,0.96,1.11,1.35,4.26,12.06,80.16,,,,,,-0.706,0.534,1.182217272,-0.806635888,62.4219,0.202,13.9091,,,,,
4.71,,18.75,64.7,27.77,7.54,36.16,,,,,,,,0.84,0.77,1.11,4.1,12.26,81.12,73.32,21.59,5.09,0,0,-1.108,0.688,1.322704308,-1.000568808,62.7262,0.0845,14.1096,32.71,2.56,-0.199,0.954,37.58
4.76,,18.75,62.56,30.48,6.95,35.9,0.44,2.17,94.33,11.99,0.39,0.04,96.64,1.3,0.99,1.02,3.79,8.78,84.11,,,,,,-1.259,0.897,,,61.9667,0.084,13.9612,,,,,
