depth_m,age,sed_rates,aragonite,lmc,hmc,water,TGA_orgstof,TGA_totalorg,TGA_CaCO3,Flash_TC,Flash_TOC,Flash_TN,Flash_CaCO3,s_500,s_355-500,s_250-355,s_125-250,s_63-125,s_63,l_63,l_63-125,l_125_250,l_250_500,l_500,d18O_pl,d13C_pl,d13C_bulk,d18O_bulk,L*,a*,b*,mean,sorting,skewness,kurtosis,median
4.81,,18.75,61.61,31.61,6.78,36.29,,,,,,,,0.79,0.77,1.06,3.35,9.98,84.17,77.52,19.5,2.98,0,0,-0.853,1.182,1.327982137,-1.060025815,61.2296,0.0378,13.2345,29.8,2.502,-0.198,0.899,34.19
4.86,,18.75,61.19,31.79,7.02,35.66,,,,,,,,1.16,0.67,0.42,3.32,10.24,83.47,,,,,,-1.035,0.811,0.753036747,-1.296639106,60.6505,0.1035,13.584,,,,,
4.91,,18.75,62.85,30.54,6.61,35.7,,,,,,,,0.91,0.63,0.76,2.76,8.91,85.87,,,,,,-1.137,0.916,1.350956524,-0.786016433,61.1729,0.1168,13.5435,14.99,1.926,-0.055,0.745,15.48
4.96,,18.75,63.64,29.18,7.17,37.58,0.42,2.11,94.47,11.93,0.31,0.04,96.86,2.03,1.35,1.39,4.89,12.34,76.44,,,,,,-1.127,0.8,,,60.4883,0.2316,13.5106,,,,,
5.01,,18.75,61.49,31,7.5,36.52,,,,,,,,0,0,1.2,3.55,9.61,82.96,77.33,18.03,4.07,0.57,0,-1.25,0.97,0.909042593,-1.398478602,60.0371,0.2202,13.4704,29.3,2.58,-0.153,0.892,33.05
5.06,,18.75,61.96,31.32,6.72,36.64,,,,,,,,0.75,0.69,0.98,2.37,7.74,87.12,,,,,,-1.61,0.949,0.931165066,-1.730008054,60.7902,0.1683,13.5243,,,,,
5.11,,18.75,62.18,30.95,6.88,36.47,,,,,,,,1.25,1.21,1.25,1.28,8.57,85.2,86.74,12.74,0.52,0,0,-1.16,0.889,0.956307782,-1.413721745,61.1922,0.1207,13.5919,23.88,2.39,-0.139,0.812,26.37
5.16,,18.75,62.83,30.08,7.09,37.8,0.47,2.28,93.96,11.88,0.41,0.04,95.47,2.96,1.76,1.68,4.91,5.51,80.3,,,,,,-1.377,0.896,,,60.9838,0.0043,13.285,,,,,
5.21,,18.75,63.7,29.44,6.86,36.28,,,,,,,,0.81,1.03,1.15,3.55,8.48,85.18,,,,,,-0.897,0.641,1.357951841,-0.929576911,60.8738,0.1359,13.3901,19.26,2.114,-0.178,0.754,21.36
5.26,,18.75,63.3,29.66,7.04,35.71,,,,,,,,1.04,1.24,1.45,3.93,9.11,83.75,,,,,,-1.25,0.792,0.988494329,-1.288225438,61.0962,0.0759,13.5258,,,,,
5.31,89.00,18.75,66.11,27.11,6.79,36.01,,,,,,,,0.89,1.1,1.25,4.55,9.93,82.65,81.55,16.59,1.86,0,0,-1.704,1.182,0.936193416,-1.312066027,61.0696,0.1412,13.4212,25.06,2.558,-0.09,0.778,26.98
5.36,,6.41,67.29,25.99,6.72,37.58,0.55,2.44,94.58,11.88,0.43,0.05,95.45,0.97,0.87,0.92,3.59,7.5,86.14,,,,,,-1.472,0.773,,,60.1061,0.1042,13.202,,,,,
5.41,,6.41,67.19,26.04,6.77,35.8,,,,,,,,0.74,0.84,1.26,3.68,8.6,85.26,79.8,16.76,3.44,0,0,-1.825,0.714,1.024754192,-1.257063378,59.2888,0.1813,12.8434,27.47,2.554,-0.135,0.859,30.58
5.46,,6.41,64.59,27.48,7.92,34.64,,,,,,,,0.58,0.84,1.06,2.7,7.35,89.77,,,,,,-1.191,0.736,1.03818913,-1.287134353,,,,,,,,
5.51,,6.41,67.58,25.61,6.81,32.42,,,,,,,,0.66,1,1.13,3.19,8.1,85.93,,,,,0.01,-1.962,0.747,1.320149018,-0.976594618,,,,16.71,2.002,-0.123,0.737,17.87
5.56,,6.41,66.9,25.91,7.19,37.04,0.5,2.35,94.53,12,0.41,0.05,96.52,1.02,1.15,1.39,6.47,7.12,82.85,,,,,,-1.4,0.636,,,59.13,0.0922,14.1122,,,,,
5.61,,6.41,68.33,24.89,6.78,36.86,,,,,,,,0.76,0.86,0.91,2.62,6.05,88.56,83.44,14.6,1.96,0,0,-1.531,1.033,0.842722254,-1.048064332,59.0078,0.0864,14.3355,25.42,2.47,-0.133,0.835,28.14
5.66,,6.41,67.69,24.71,7.6,36.69,,,,,,,,0.95,0.9,1.18,2.27,7.03,87.45,,,,,,-1.841,0.909,0.927718666,-1.426036838,58.8648,0.0903,14.7419,,,,,
5.71,,6.41,69.6,22.64,7.76,36.9,,,,,,,,1.31,1.34,1.51,3.13,6.51,86.33,83.22,14.7,2.08,0,0,-1.56,0.584,1.002699438,-1.617375404,58.7661,0.1731,13.9128,25.29,2.487,-0.121,0.83,27.82
5.76,,6.41,69.59,23.22,7.19,39.18,0.5,2.4,94.31,12,0.39,0.05,96.71,2.15,1.76,2.09,4.82,7.43,80.18,,,,,,-1.503,0.3,,,58.3393,0.2017,14.4873,,,,,
5.81,,6.41,69.25,23.01,7.73,37.03,,,,,,,,3.09,1.93,2.7,4.76,7.46,81.27,69.22,12.04,5.64,6.21,6.88,-1.838,0.323,0.863224608,-1.614876741,56.9905,0.1528,13.5733,39.54,4.042,0.182,1.132,35.23
5.86,,6.41,67.53,23.91,8.56,36.21,,,,,,,,2.63,2.93,3.58,4.83,7.37,78.71,,,,,,-1.32,0.908,0.753768349,-1.536444139,56.6942,0.2945,14.3322,,,,,
5.91,,6.41,68.34,24.16,7.5,37.07,,,,,,,,2.1,2.64,3.63,5.83,7.8,77.82,66.39,13.72,7.1,9.19,3.59,-2.028,0.754,0.901869707,-1.311304195,56.0306,0.2255,13.6257,42.28,3.876,0.126,1.035,38.48
5.96,,6.41,68.31,24.63,7.06,37.63,0.51,2.42,93.81,11.79,0.4,0.04,94.88,3.76,3.97,5.04,7.09,7.95,71.12,,,,,,-1.801,0.316,,,54.9988,0.295,13.8769,,,,,
6.01,,6.41,67.63,24.15,8.22,37.39,,,,,,,,3.81,3.08,3.86,6.05,8.62,74.19,74.77,0.31,0,9.3,15.62,-1.633,0.788,0.708368518,-1.56237325,55.1544,0.3185,12.968,46.78,5.694,0.443,1.075,24.41
6.06,,6.41,68.94,22.86,8.2,36.71,,,,,,,,2.91,3.02,4.3,6.74,8.88,74.15,,,,,,-2.034,0.826,0.558847555,-1.711692148,54.6008,0.4036,14.0787,,,,,
6.11,,6.41,65.93,24.08,9.99,35.97,,,,,,,,4.18,5.71,6.46,8.06,9.02,66.57,55.04,0.07,0,21.3,23.59,-1.619,0.876,0.824968345,-1.433609557,52.4881,0.4666,12.6711,57.95,5.738,0.32,0.553,35.12
6.16,,6.41,67.21,22.33,10.45,37.23,0.53,2.51,93.45,11.81,0.4,0.04,95.08,2.89,3.71,4,6.94,8.97,73.48,,,,,,-1.89,0.62,,,54.13,0.6024,14.3217,,,,,
6.21,,6.41,69.89,21.09,9.03,37.26,,,,,,,,2.31,3.06,4.34,7.05,9.18,74.05,27.28,8.87,3.94,2.42,57.49,-1.454,0.536,0.606809494,-2.021988234,53.4596,0.5655,13.9133,351.3,5.929,-0.654,0.661,817.5
6.26,,6.41,68.38,22.2,9.42,36.06,,,,,,,,1.81,2.76,3.77,5.9,9.94,75.82,,,,,,-2.491,0.738,0.836043421,-1.542346298,54.3863,0.2358,12.6056,,,,,
6.31,,6.41,70.64,19.8,9.56,33.95,,,,,,,,1.77,3.09,3.74,5.85,7.22,78.34,54.97,15.41,7.96,11.62,10.05,-1.368,0.923,0.585061777,-1.568176887,53.1489,0.458,14.1402,67.06,4.367,0.154,0.91,54.1
6.36,,6.41,67.39,22.49,10.12,37.36,0.52,2.54,92.85,11.75,0.36,0.04,94.92,3.84,4.36,4.83,8,9.87,67.96,,,,,,-1.152,0.567,,,53.6638,0.4061,14.0447,,,,,
6.41,,6.41,68.15,22.71,9.14,34.84,,,,,,,,1.84,2.8,4.06,6.57,10.5,74.24,63.91,5.87,1.23,15.77,13.22,-1.528,0.649,0.653878144,-1.428055868,53.4014,0.4577,14.1308,61.94,5.033,0.271,0.706,42.29
6.46,,6.41,68.26,22.69,9.05,34.73,,,,,,,,2.98,3.12,3.89,6.74,10.36,72.91,,,,,,-1.664,0.648,0.579634131,-1.767889786,53.617,0.3721,13.9318,,,,,
6.51,,6.41,67.55,21.71,10.74,33.78,,,,,,,,2.36,3.35,4.26,6.31,9.43,74.29,72.01,22.63,5.35,0,0,-1.652,0.549,0.53239053,-1.567935324,,,,33.5,2.574,-0.201,0.947,38.42
6.56,108.50,6.41,61.81,28.19,10,40.42,0.51,2.39,93.11,11.7,0.3,0.03,94.93,11.2,11.28,11.2,10.77,7.74,46.97,,,,,,-0.91,0.481,,,52.653,0.2922,12.9783,,,,,
6.61,,4.17,62.46,25.91,11.63,36.2,,,,,,,,5.31,6.85,8.24,9.67,10.22,59.71,53.4,0.7,0,27.64,18.26,-1.029,0.786,0.592790337,-1.398586359,50.8796,0.5638,13.7843,60.87,5.488,0.203,0.558,44
6.66,110.90,4.17,63.74,24.3,11.95,35.77,,,,,,,,5.51,5.31,5.58,7.03,10.03,66.53,,,,,,-1.836,0.66,1.252958823,-1.178211325,52.7649,0.526,13.8714,,,,,
6.71,,27.27,66.35,22.58,11.07,36.5,,,,,,,,3.51,5.65,6.91,10.15,11.57,62.21,38.44,16.44,11.19,19.61,14.32,-1.537,0.513,0.671887671,-1.041466462,54.9759,0.3477,9.6867,103.5,4.121,-0.028,0.797,98.14
6.76,,27.27,67.81,21.28,10.9,36.26,0.5,2.5,93.1,11.82,0.32,0.03,95.83,2.01,3.97,4.81,7.21,10.84,68.37,,,,,,-1.136,0.408,,,51.3802,0.679,13.0834,,,,,
6.81,,27.27,67.5,20.81,11.68,30.97,,,,,,,,2.3,4.38,5.67,7.71,9.89,70.05,50.85,4.37,0.53,18.41,25.84,-1.622,0.596,0.518658703,-1.710302177,49.9519,1.0181,13.3871,87.6,5.414,0.227,0.688,60.27
6.86,,27.27,71.01,16.72,12.28,36.07,,,,,,,,2.58,4.34,4.75,6.7,11.49,70.14,,,,,,-2.11,0.696,0.724147093,-1.910981552,51.554,0.7151,14.0135,,,,,
6.91,,27.27,66.02,22.32,11.67,36.49,,,,,,,,3.27,5.04,5.83,8.05,11.25,66.54,42.35,16.66,8.94,13.41,18.64,-1.546,0.876,0.749552496,-1.337927823,50.2356,1.0227,13.6449,99.18,4.57,0.091,0.788,82.09
6.96,112.00,27.27,65.66,22.31,12.03,37.16,0.52,2.58,92.59,11.8,0.41,0.04,94.93,3.41,4.08,4.39,7.22,12.18,63.14,,,,,,-1.712,0.511,,,51.1378,0.6096,13.6058,,,,,
7.01,,12.50,69.8,18.53,11.68,34.79,,,,,,,,3.34,2.94,3.66,6.08,11.44,72.55,66.74,26.07,7.2,0,0,-1.498,0.798,0.967095834,-1.571345371,53.3598,1.0001,14.7198,40.11,2.449,-0.217,1.083,45.09
7.06,,12.50,69.08,18.17,12.75,35.4,,,,,,,,1.26,2.04,2.48,5.54,12.77,75.91,,,,,,-1.449,0.612,0.7952,-1.54288,54.5102,0.9215,13.7393,,,,,
7.11,,12.50,67.17,20.56,12.27,35.03,,,,,,,,2.49,3.85,4.68,7.27,11.28,70.44,52.12,20.87,8.4,10.53,8.08,-1.827,1.036,0.856468994,-1.576377726,52.3607,0.9825,12.8704,70.81,3.855,0.129,1.13,59.25
7.16,,12.50,65.38,21.91,12.71,40.02,0.52,2.56,93.08,11.69,0.35,0.04,94.44,3.26,5.64,6.75,8.44,9.78,65.44,,,,,,-1.017,0.388,,,53.32,0.8171,13.7779,,,,,
7.21,114.00,12.50,65.29,23.02,11.69,35.58,,,,,,,,2.99,4.26,5.3,7.68,10.99,68.78,30.92,12.34,8.56,15.62,32.56,-1.57,0.913,0.380425094,-1.63571012,52.5891,0.6518,13.138,189.1,5.287,-0.172,0.778,218.5
7.26,,25.00,65.47,22.83,11.7,35.42,,,,,,,,3.01,3.85,4.38,6.06,10.64,72.06,,,,,,-1.915,0.847,0.649160619,-1.315253378,53.0694,0.911,14.5601,,,,,
7.31,,25.00,66.26,21.25,12.49,34.83,,,,,,,,2.35,3.91,4.5,6.85,11.34,71.05,58.09,8.34,0.9,16.59,16.08,-1.575,0.618,0.8428,-1.6941,52.6037,0.7176,14.0362,75.16,4.691,0.258,0.703,50.31
7.36,,25.00,67.76,19.06,13.17,36.96,0.52,2.52,93.8,11.87,0.29,0.03,96.48,1.47,2.05,2.38,6.19,14.03,73.87,,,,,,-1.562,0.851,,,55.6175,0.9335,14.537,,,,,
7.41,,25.00,68.81,18.01,13.18,34.85,,,,,,,,0.64,1.03,1.38,4.32,13.25,79.38,57.03,21.03,6.91,6.23,8.8,-2.128,1.096,0.810705212,-1.829320875,57.8429,0.7597,14.8605,60.95,3.655,0.157,1.402,53.45
7.46,,25.00,68.7,17.99,13.3,35.66,,,,,,,,0.99,1.48,2.25,5.07,12.68,77.54,,,,,,-1.71,0.91,0.968659175,-1.615497357,,,,,,,,
7.51,,25.00,69.46,17.6,12.94,33.65,,,,,,,,0.88,1.75,2.33,5.77,12.26,77.01,70.55,15.23,0.09,7.19,6.94,-1.76,0.894,0.729717736,-1.814340515,,,,40,3.099,0.054,1.637,42.08
7.56,115.40,25.00,70.53,17.24,12.22,36.22,0.46,2.56,94.94,11.69,0.24,0.03,95.33,1.72,1.67,1.88,5.75,13.6,73.33,,,,,,-2.068,0.811,,,54.6054,0.9406,13.6872,,,,,
7.61,,7.32,70.27,17.1,12.62,35.08,,,,,,,,1.77,2.73,3.32,5.65,12.03,74.5,53.46,21.23,7.74,9.1,8.47,-1.372,0.702,0.594796108,-1.815375981,57.2576,0.7161,14.9272,69.04,3.823,0.147,1.218,57.5
7.66,,7.32,67.06,20.68,12.26,35.24,,,,,,,,1.79,2.63,3.05,6.11,11.16,75.26,,,,,,-1.784,0.597,0.769619522,-1.695163457,57.7563,0.7139,13.003,,,,,
7.71,,7.32,67.04,20.74,12.23,35.8,,,,,,,,3.05,3.85,4.28,6.74,11.49,70.6,48.77,21.72,8.82,9.5,11.19,-1.646,1.153,0.573242312,-1.390762253,57.1802,0.7787,14.4159,80.23,3.979,0.153,1.096,64.53
7.76,,7.32,68.46,19.65,11.88,35.94,0.45,2.47,94.99,11.83,0.28,0.04,96.22,1.87,2.66,2.71,6.15,9.75,73.81,,,,,,-1.779,0.804,,,56.1534,0.5939,14.4022,,,,,
7.81,,7.32,68.76,18.83,12.4,34.96,,,,,,,,1.97,3.17,3.63,7.38,11.77,72.1,57.58,11.07,2.87,13.54,14.94,-1.43,0.877,0.8528139,-1.557330937,56.875,0.5254,14.8904,73.58,4.734,0.245,0.757,51.04
7.86,,7.32,69.02,19.19,11.78,34.04,,,,,,,,1.78,3.18,3.61,6.19,10.31,74.93,,,,,,-0.988,0.789,,,57.8793,0.624,11.8195,,,,,
7.91,,7.32,67.63,20.65,11.72,34.61,,,,,,,,1.75,3.1,3.05,5.65,9.95,76.5,60.96,22.6,7.6,6.81,2.03,-1.253,0.516,0.7204,-1.2952,55.6254,0.7238,14.3132,47.57,3.001,-0.014,1.292,49.3
7.96,,7.32,68.6,20.37,11.03,35.86,0.47,2.45,95.11,11.68,0.3,0.04,94.76,3.61,4.93,5.03,7.67,9.87,67.06,,,,,,-1.743,0.651,,,56.1414,0.422,14.5088,,,,,
8.01,,7.32,66.12,23.11,10.77,36.21,,,,,,,,3.9,5.89,5.64,7.18,7.59,69.79,43.88,13.39,8.59,14.4,19.74,-1.965,0.529,0.57493997,-1.88567712,55.4704,0.5717,14.1061,96.82,4.819,0.09,0.762,80.8
8.06,,7.32,67.42,21.36,11.22,35.86,,,,,,,,4.52,5.14,5.61,7.79,8.57,68.36,,,,,,-1.85,0.739,0.622556776,-1.647257471,55.2751,0.5275,13.3732,,,,,
8.11,,7.32,67.75,21.11,11.13,36.08,,,,,,,,3.24,3.98,5.33,8.3,7.29,70.65,68.77,2.02,0,20.13,9.08,-1.248,0.61,0.698423141,-1.502958155,54.8163,0.5146,14.5204,51.9,5.032,0.316,0.606,32.91
8.16,,7.32,67.46,21.17,11.37,36.63,0.51,2.77,93.82,11.63,0.41,0.04,93.42,3.87,5.29,5.72,9.11,7.82,68.2,,,,,,-1.82,0.913,,,53.1295,0.3309,12.5175,,,,,
8.21,,7.32,67.57,20.89,11.54,42.05,,,,,,,,2,3.94,4.6,7.61,8.94,71.91,26.09,5.83,3.8,5.85,58.44,-1.27,0.875,0.384550554,-1.372300689,53.6683,0.4183,12.4107,375.6,6.24,-0.696,0.665,953.4
8.26,,7.32,66.25,22.45,11.3,21.77,,,,,,,,2.12,3.65,4.52,7.14,7.79,72.77,,,,,,-1.487,0.737,0.545230256,-1.590231429,53.1621,0.4934,13.456,,,,,
8.31,,7.32,64.69,24.53,10.78,37.53,,,,,,,,3.39,5.5,6.42,9.09,8.37,65.02,44.57,14.67,9.57,15.94,15.25,-1.01,0.662,0.363742798,-1.685599291,50.4918,0.3889,13.0772,89.52,4.519,0.069,0.777,77.1
8.36,,7.32,65.87,23.62,10.52,37.4,0.56,2.92,92.71,11.56,0.47,0.05,92.35,3.35,6.98,8.03,11.43,8.54,61.66,,,,,,-1.844,0.183,,,49.319,0.4667,12.6512,,,,,
8.41,,7.32,65.25,23.99,10.76,37.12,,,,,,,,2.65,6.56,7.16,10.25,9.18,63.14,50.18,4.3,1.21,23.43,20.88,-1.563,0.273,0.544591084,-1.445013701,50.2901,0.503,11.7986,80.78,4.997,0.148,0.658,61.84
8.46,,7.32,63.43,25.98,10.6,37.07,,,,,,,,2.49,6.05,8.14,11.02,8.81,63.05,,,,,,-1.283,0.746,0.685481422,-0.871901102,,,,,,,,
8.51,,7.32,64.23,25.28,10.49,35.77,,,,,,,,2.46,6.37,7.39,10.78,8.52,64.07,44.79,11.79,10.49,20.15,12.78,-1.534,0.807,0.4334,-1.5433,,,,84.74,4.543,-0.008,0.74,80.81
8.56,,7.32,65.72,23.67,10.61,37.23,0.54,2.9,92.7,11.49,0.49,0.04,91.69,2.77,6.06,7.8,11.7,9.35,62.31,,,,,,-1.768,0.482,,,49.1127,0.8336,12.6039,,,,,
8.61,,7.32,63.79,25.15,11.07,38.52,,,,,,,,3.5,6.66,7.46,10.87,7.96,62.6,56.93,1.37,2.25,25.18,14.27,-1.591,0.682,0.344673464,-1.50918668,48.4417,0.5076,12.2323,61.65,5.168,0.242,0.625,42.81
8.66,,7.32,58.55,30.21,11.24,39.54,,,,,,,,2.95,8.79,9.54,14.44,9.66,52.85,,,,,,-1.668,0.992,0.687072474,-1.072521339,50.9841,0.4702,11.0223,,,,,
8.71,,7.32,59.44,29.35,11.21,38.85,,,,,,,,4.03,8.71,10.06,11.82,8.99,56.23,36.2,10.48,10.81,23.3,19.2,-1.333,0.8,0.520232238,-1.350404417,51.312,0.4542,10.0227,122.5,4.53,-0.275,0.754,160
8.76,,7.32,60.98,28.32,10.7,38.24,0.54,2.65,93.14,11.56,0.44,0.04,92.58,2.99,8.56,9.58,15.1,8.23,55.55,,,,,,-1.587,0.337,,,50.4706,0.5305,10.1987,,,,,
8.81,,7.32,59.54,29.37,11.09,38.06,,,,,,,,7.43,10.91,12.5,14.86,9.36,44.16,40.85,0.25,2.3,35.66,20.94,-1.54,0.273,0.763905329,-0.662464704,46.2753,0.5873,10.999,121.5,5.443,-0.679,0.574,306.7
8.86,,7.32,61.35,28.4,10.25,36.98,,,,,,,,4.88,8.92,10.69,15.34,10.63,48.65,,,,,,-1.476,0.881,0.7037,-1.0208,52.8068,0.4312,9.3549,,,,,
8.91,,7.32,55.31,33.68,11.01,37.78,,,,,,,,7.51,11.84,11.58,12.69,8.88,46.64,38.48,12.91,16.17,32.08,0.36,-0.721,0.697,0.716734572,-0.916442346,49.5515,1.2077,12.3158,85.96,4.022,-0.322,0.729,115.5
8.96,,7.32,56.36,33.66,9.99,37.82,0.51,2.26,95.04,11.58,0.5,0.03,92.27,4.84,11.69,14.11,16.31,8.68,42.84,,,,,,-1.248,0.387,,,46.7077,0.7969,11.47,,,,,
9.01,,7.32,54.17,34.83,11,37.82,,,,,,,,7.09,11.98,13.64,14.44,9.48,43.34,24.83,11.46,13.87,28.81,21.03,-1.297,0.831,0.743964252,-1.003683405,48.768,1.1612,12.2888,171,3.821,-0.434,0.887,248.4
9.06,,7.32,49.1,40.07,10.82,39.76,,,,,,,,6.88,14.46,14.41,13.99,8.79,41.52,,,,,,-1.521,0.967,0.893053321,-0.96299793,49.4381,1.3455,12.1027,,,,,
9.11,,7.32,53.46,34.68,11.86,37.72,,,,,,,,3.34,8.19,9.4,11.22,9.7,56.64,30.68,13.86,11.87,25.02,18.56,-1.305,1.161,0.83519237,-0.942074853,49.1093,1.545,11.8311,143,3.953,-0.266,0.821,176.9
9.16,,7.32,55.56,34.5,9.93,37.53,0.49,2.18,94.75,11.56,0.3,0.04,93.85,9.1,13.13,13.47,15.8,11.56,36.05,,,,,,-1.366,0.464,,,51.3446,1.3438,13.1196,,,,,
9.21,,7.32,52.37,37.37,10.27,39.56,,,,,,,,6.05,12.47,13.29,14.26,9.86,42.68,21.21,3.92,8.57,31.78,34.51,-1.677,0.68,0.64207825,-0.473285936,51.6224,0.8063,11.5457,225.4,4.11,-0.514,1.152,371.5
9.26,,7.32,55.24,35,9.76,38.09,,,,,,,,5.12,12.09,13.25,14.5,10.19,43.91,,,,,,-1.443,0.977,0.658174977,-0.842350226,55.1481,0.524,9.4266,,,,,
9.31,,7.32,55,35.38,9.62,38.84,,,,,,,,4.93,10.73,12.78,14.67,9.82,46.33,31.07,1.75,5.93,39.49,21.76,-1.884,0.657,0.729221328,-1.069801009,49.5509,0.8363,12.5857,153,4.518,-0.668,0.723,323.1
9.36,140.00,7.32,54.69,35.19,10.12,39.13,0.52,2.24,95.56,11.58,0.31,0.03,93.91,5.63,13.31,14.81,16.56,9.13,40.55,,,,,,-1.395,0.597,,,49.9183,1.1056,12.2066,,,,,
9.41,230.00,25.83,55.63,35.52,8.84,38.32,,,,,,,,4.54,11.14,12.1,12.52,10.54,48.42,24.66,11.56,12.05,28.57,23.16,-1.264,0.89,0.776262097,-1.075204848,47.9828,0.9718,11.3233,178.9,3.846,-0.449,0.876,265.3
9.46,,25.83,57.91,32.48,9.61,36.34,,,,,,,,4.77,11.42,11.25,13.39,11.11,48.48,,,,,,-1.315,0.772,0.907749582,-1.09399854,,,,,,,,
9.51,,25.83,59.74,30.98,9.28,34.23,,,,,,,,6.87,11.61,12.38,14.67,8.7,45.77,24.65,9.6,12.47,30.44,22.83,-1.332,0.887,0.73655709,-1.134807559,,,,178.9,3.859,-0.487,0.877,276.2
9.56,,25.83,57.6,33.42,8.98,37.1,0.49,2.22,94.77,11.66,0.32,0.04,94.47,5.2,11.94,13.91,14.74,10.99,43.22,,,,,,-1.306,0.874,,,50.3841,0.524,9.4353,,,,,
9.61,,25.83,58.44,32.15,9.41,37.43,,,,,,,,3.83,8.74,10.24,12.81,12.69,51.5,29.79,3.34,4.62,37.63,24.62,-1.497,0.875,0.812463579,-1.177790994,53.609,0.5303,7.9417,175,4.157,-0.644,0.759,337.3
9.66,,25.83,61.77,29.73,8.51,37.1,,,,,,,,5.93,11.01,10.57,11.8,10.03,50.79,,,,,,-1.889,1.129,0.805248697,-1.044692986,50.5394,0.6252,9.1556,,,,,
